_id,gameId,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,payoff,response,role,time,box_A,box_B,AA,AB,BA,BB,playerIds,game_cond,chat_cond
ZLNKeTo88xGHcn83M,Z5FZXHNfuyphj5PhR,8,5,0,0,0,0,5,8,30,m3yvm4LFxdtfHeBRw,0,B,p2,4.991,blue-crate,aqua-crate,5,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
j8XvpPHy3upQ5WD7w,Z5FZXHNfuyphj5PhR,7,3,0,0,0,0,3,7,31,m3yvm4LFxdtfHeBRw,0,B,p2,2.413,orange-crate,aqua-crate,3,0,0,7,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
8p8Saa9Jmbdf9Z9Ze,Z5FZXHNfuyphj5PhR,3,2,0,0,0,0,2,3,32,m3yvm4LFxdtfHeBRw,0,A,p2,5.055,blue-crate,green-crate,2,0,0,3,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
GNFRidY4rpu5h7p83,Z5FZXHNfuyphj5PhR,8,2,0,0,0,0,2,8,33,m3yvm4LFxdtfHeBRw,8,B,p2,4.381,pink-crate,green-crate,2,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
zsdx3skcQX3gSFs6K,Z5FZXHNfuyphj5PhR,8,4,0,0,0,0,4,8,34,m3yvm4LFxdtfHeBRw,0,B,p2,3.09,purple-crate,crate,4,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
i7WBko939qsrPoLzf,Z5FZXHNfuyphj5PhR,9,5,0,0,0,0,5,9,35,m3yvm4LFxdtfHeBRw,0,B,p2,1.793,crate,pink-crate,5,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
Dv26iLbnc3Btm98yH,Z5FZXHNfuyphj5PhR,6,4,0,0,0,0,4,6,36,m3yvm4LFxdtfHeBRw,0,B,p2,2.523,purple-crate,crate,4,0,0,6,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
hKr4FwFoXgKLdWTsv,Z5FZXHNfuyphj5PhR,7,3,0,0,0,0,3,7,37,m3yvm4LFxdtfHeBRw,0,B,p2,1.658,yellow-crate,aqua-crate,3,0,0,7,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
FNfZ6hDqyhKjc2Pcc,Z5FZXHNfuyphj5PhR,9,2,0,0,0,0,2,9,38,m3yvm4LFxdtfHeBRw,0,B,p2,3.133,orange-crate,pink-crate,2,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
QXQhXEq4nJht6zS6P,Z5FZXHNfuyphj5PhR,7,6,0,0,0,0,6,7,39,m3yvm4LFxdtfHeBRw,0,A,p2,6.913,yellow-crate,blue-crate,6,0,0,7,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
FFeySzRvpMvTYfrEs,vfnssDmogHKt69J8W,7,6,0,0,0,0,6,7,0,4swErhnRANwAntH8y,7,B,p2,32.143,pink-crate,green-crate,6,0,0,7,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
LXdmjPbN62cAPfaJG,vfnssDmogHKt69J8W,4,3,0,0,0,0,3,4,1,4swErhnRANwAntH8y,4,B,p2,9.862,aqua-crate,orange-crate,3,0,0,4,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
fw2ErhqMSStSKCcut,vfnssDmogHKt69J8W,8,5,0,0,0,0,5,8,2,4swErhnRANwAntH8y,0,B,p2,13.694,blue-crate,pink-crate,5,0,0,8,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
iqXtjA2LPLZXvHx8y,vfnssDmogHKt69J8W,8,7,0,0,0,0,7,8,3,4swErhnRANwAntH8y,7,A,p2,10.047,pink-crate,yellow-crate,7,0,0,8,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
hdaQz5k6KqFkyB8aE,vfnssDmogHKt69J8W,9,2,0,0,0,0,2,9,4,4swErhnRANwAntH8y,9,B,p2,16.876,aqua-crate,yellow-crate,2,0,0,9,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
okbFGF2Jbmu88x2rA,vfnssDmogHKt69J8W,6,2,0,0,0,0,2,6,5,4swErhnRANwAntH8y,2,A,p2,10.961,crate,purple-crate,2,0,0,6,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
v687pac6xnnd5Evco,vfnssDmogHKt69J8W,8,3,0,0,0,0,3,8,6,4swErhnRANwAntH8y,3,A,p2,11.59,crate,yellow-crate,3,0,0,8,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
gxxjicQHjXrchPPqx,vfnssDmogHKt69J8W,4,2,0,0,0,0,2,4,7,4swErhnRANwAntH8y,4,B,p2,19.84,pink-crate,purple-crate,2,0,0,4,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
DG8t27oDikhR5NPRs,vfnssDmogHKt69J8W,7,6,0,0,0,0,6,7,8,4swErhnRANwAntH8y,7,B,p2,12.687,yellow-crate,aqua-crate,6,0,0,7,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
Hc63SBqesaTKuZrzP,vfnssDmogHKt69J8W,8,6,0,0,0,0,6,8,9,4swErhnRANwAntH8y,8,B,p2,10.529,blue-crate,orange-crate,6,0,0,8,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
JykzABSSxo5rSdjLi,vfnssDmogHKt69J8W,9,4,0,0,0,0,4,9,10,4swErhnRANwAntH8y,4,A,p2,6.874,blue-crate,green-crate,4,0,0,9,"4swErhnRANwAntH8y,WKGaEaWxkF89GASP5",BoS,chat
