_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.timeClick,data.scoreIncrement,data.exitTimeoutId,data.exited
qqg5HXTbXJN4dLnmF,,2022-01-07T17:42:01Z,,,ExitSurvey,2022-01-07T17:51:36Z,finished,,,,2022-01-07T17:39:57Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.020000000000002,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",A,2286,5,,
AfwwGjhiv3w5w8bsy,,2022-01-07T17:41:22Z,,,ExitSurvey,2022-01-07T17:52:51Z,finished,,,,2022-01-07T17:39:58Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.8600000000000017,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""}",A,4853,0,,
35Z2ki2xkFL5TMzSC,,2022-01-07T17:41:35Z,,,ExitSurvey,2022-01-07T17:53:15Z,finished,,,,2022-01-07T17:39:59Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.120000000000003,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,2974,2,,
9xt6wBs4sCM4dwScx,,2022-01-07T17:41:16Z,,,ExitSurvey,2022-01-07T17:50:42Z,finished,,,,2022-01-07T17:40:00Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.4400000000000017,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",A,3501,0,,
uKyFHYAF6JwQuzrfs,,2022-01-07T17:41:41Z,,,ExitSurvey,2022-01-07T17:50:39Z,finished,,,,2022-01-07T17:40:00Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.8600000000000025,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",A,1865,7,,
xap4Mg5WctGodPMbS,,2022-01-07T17:42:12Z,,,ExitSurvey,2022-01-07T17:53:13Z,finished,,,,2022-01-07T17:40:02Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.5000000000000013,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}",B,2977,2,,
5g5WEywktqKxAtCwR,,2022-01-07T17:41:07Z,,,ExitSurvey,2022-01-07T17:51:27Z,finished,,,,2022-01-07T17:40:03Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.9800000000000018,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",A,1364,6,,
BkAWA2P83AnBmRcif,,2022-01-07T17:42:44Z,,,ExitSurvey,2022-01-07T17:54:29Z,finished,,,,2022-01-07T17:40:05Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.7400000000000024,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,2850,5,,
Yz88v78EY5jNdzcYu,,2022-01-07T17:41:46Z,,,ExitSurvey,2022-01-07T18:00:50Z,finished,,,,2022-01-07T17:40:06Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.100000000000001,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}",A,3493,5,,
tQJiGLnnkMmBQotHi,,2022-01-07T17:41:12Z,,,ExitSurvey,2022-01-07T17:57:06Z,finished,,,,2022-01-07T17:40:06Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.7000000000000024,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",A,11546,6,,
FXX94LXCBAq7qSZhS,,2022-01-07T17:41:25Z,,,ExitSurvey,2022-01-07T17:51:31Z,finished,,,,2022-01-07T17:40:07Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.0000000000000013,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,928,5,,
rDw7mfobPrNuLQMid,,2022-01-07T17:41:19Z,,,"Sorry,ExitSurvey",2022-01-07T17:43:07Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-01-07T17:40:09Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,0,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",false,false,0,3706,true
